user_biography,user_followers,user_following,user_is_private,user_is_verified,user_username,user_media_count,latest_media_comments,latest_media_likes
"دَر حال مَرگ ████████▓99%
𝓑𝓻𝓸𝔀𝓼𝓮 𝓽𝓱𝓮 𝓶𝓮𝓶𝓸𝓲𝓻𝓼, 𝓽𝓱𝓮 𝓬𝓻𝓪𝔃𝓲𝓮𝓼𝓽 𝓬𝓻𝓲𝓶𝓮 𝓽𝓱𝓪𝓽 𝓱𝓾𝓶𝓪𝓷 𝓶𝓪𝓴𝓮𝓼 𝓽𝓸 𝓱𝓲𝓼 𝓻𝓲𝓰𝓱𝓽 ‏
『↾ از ےجايے بہِـ بـ؏ـد فقَـ⇜‍ـط زْنده اے⇣.#
Sh.j🏴‍☠️",84,2480,False,False,zahra___________17,0,,
,147,2188,False,False,protonteam12,4,0,2
,66,3213,False,False,ali49_202,22,0,3
,118,7363,False,False,cdjdj.d,4,0,3
,68,3132,False,False,fofo87333,4,0,1
"@mohadesehnasirimogaddam 
پیج اصلیم 🙂🐚",391,671,False,False,mogaddam4502,0,,
"بوتیک؛ سون 
ادرس : شوش شهر ( حر ) 
خ باهنر : روبه روی میدان امام حسین (ع)
شماره تماس 09333657356",164,1023,False,False,boutik__.7,77,0,12
"A LITTLE GIRL WITH BIG DREAMS 💫
NO PAIN NO GAIN 😎
MUSIC LOVER 🎶 @taylorswift
* LOVE *
Spring girl",84,3517,True,False,ssadfmm,24,,
,59,1493,False,False,erfannnnnnnnnnp,5,0,1
,53,475,False,False,mohamad669242,23,0,0
,51,1100,True,False,mar.kam12,0,,
,56,1222,False,False,nilo.ofar799,22,0,1
"قم🤘
دخی بی اعصاب✌️",168,5863,False,False,fatem_eh729,4,1,26
,184,2515,False,False,nazan_in7135,4,0,1
,50,5723,True,False,mamad3170,42,,
"Be your own brand
-line🚬
-mshhd",1517,2675,False,False,nzi_zib,0,,
"⁦💪🏾badansaz⁦🏋🏻⁩
TEHRAN🏫andishe
🎵tataloo
استقلالی💙
ELXبازوحشی
#چهره مشهور
🎸گیتاریست
پسرک  ⁦🗡️⁩ جنگی",6931,5616,False,False,padeshahgalbam,74,29,25
,68,955,False,False,kinhmug,4,0,1
,119,3181,True,False,minapoopoo6,22,,
,72,1012,False,False,baba.k3396,5,0,1
Hhhhhhhhhh,71,1384,False,False,mahyar2020296,4,0,1
,75,3546,False,False,slawbay52,4,0,0
,73,4537,False,False,winterfall888,6,0,2
"فقط طرفدار یه نفرم  👇
farzadfarzin1
❤فرزاد فرزین❤",2402,4564,False,False,farzad.farzin.official.fan,3,0,7
,80,2446,False,False,a.n.h.93,4,0,1
,69,4122,False,False,farhad.ahmadii55555,6,0,2
,69,1968,False,False,ali12341148,4,1,1
,59,1699,False,False,karimo4529,5,0,0
,2497,4751,True,False,amirhoosin__7272,0,,
,63,3044,False,False,veraji12,4,1,3
"💙Hello guys welcome to my page💙
⁦",4556,2306,False,False,amir.heydari212,5,0,1075
,57,232,False,False,savash9000,4,0,1
,82,3062,False,False,sodamadah,4,0,1
,63,2162,False,False,jahanam_13_13,4,1,2
,89,1938,True,False,kavinmoradi,10,,
,91,2890,False,False,nastran.ahmadi1358,22,0,1
Big me hastam,59,823,False,False,kinggemr1362,6,0,1
Jiokio65@gmail.com,97,3728,False,False,ali02.020,5,0,1
👻,2277,6298,False,False,arezoo_km79,22,4,314
"‏‮m_argatsniyab ‬‏‪♫: 𝑺𝑶𝑺🔗. 
♫: 16: 𝒀.𝑶🐆. 
♫: 𝑰𝑹𝑨𝑸🇮🇶🌿.
 
- عيناها تقنع الملحدين بأنّ الله مُبدع .",90,4175,False,False,5x_77885,4,1,8
,51,915,True,False,alirezaeiii380,4,,
"شیفتگان پرواز را میل به خزیدن نیس✌✌
.
.🚫تابع قوانین خودم🚫
.
#ماشینباز #موتوربازان",173,2795,False,False,mehrad_871,10,0,4
سمت ما نیا که پر پرت میکنیم,105,1202,False,False,fazeled2021,1,0,1
,79,1916,False,False,arian_asadi_jio,5,0,0
,66,4597,False,False,bbbcccddd6,23,1,7
"سلامتی همه اونا که ندونستن قدرمونو✊
خوبی میخوایم واسه اونا که میخواستن بدمونو❤
تو رفاقتا گذاشتیم، زیرِ پاشون نردبونو🚡
#Aban
#2002
#Computer
#TEHRAN",938,941,False,False,tm_hosein_tm,0,,
"🗼BRJ 
#Graphic
#photomontage
#photoshop",1360,2252,False,False,_amir.h_karimi,26,0,20
,145,2148,False,False,alireza.selimi6,4,0,9
,81,905,False,False,sekanda6,22,0,0
"به سلامتی اونی‌که دنیارو حریفه
ولی با اشک مادرش لِه میشه😏❤👉",150,2464,False,False,sara._.202456,3,0,17
"Art
In❤S",107,6902,True,False,alireza.q11,24,,
,83,2934,False,False,mpp1mpp,4,0,0
,84,3508,False,False,nxnsk9,4,0,0
"اذرماهی🌙۲۶میاندواب
🍋🍐🍊🥝🍍🍏🍒
      پاییزی ک هفتمین روز از آذرش سهم من است🍊🍋",1720,4183,False,False,farshid.w73,18,0,65
,51,3877,True,False,kkkkkmmmmyyyyyaaa,22,,
,58,3579,False,False,hamed81813,22,2,1
یاکوزای خسته,682,972,False,False,akbaryakoza,0,,
...,82,3158,False,False,amirmohamad00002,22,0,0
"نگین❤💫❤
عاشق❤💫❤
گرافیک
❤💫💖
In ❤ H
Ahvaz✌✌✌✌✌",206,416,True,False,negin_bell,10,,
“my life is what I'm fighting for”😏✨,439,851,True,False,girl.____.rain,0,,
,92,4180,False,False,rahesho,4,1,1
,115,4886,False,False,ahmadnadimi40,30,0,3
,115,4841,True,False,hosna._.nayery,0,,
تنها ولی پرو,69,545,False,False,melina132021,23,0,1
#کتابخانه #کافی_نت #کاریابی #معرفی_کسب_و_کار #نیازمندیها #بازارشهرکرد #شهرکرد  #shahrekord,354,968,False,False,shahrekordbazaar,5,1,25
,1225,2490,False,False,mahdi.hidari1385,1,1,12
,220,7459,False,False,mr.food.72,23,0,1
,66,5911,True,False,shamim_nazari1377,22,,
,56,760,False,False,marrym321,4,0,1
,95,6068,False,False,amir8275_3,4,0,4
,65,3248,False,False,13vahnomlk,22,0,1
"هر چه پر بارتر خمیده تر ...
مهندسی مکانیک 
مهر ماهی",57,5840,True,False,moein.mahdvi,5,,
,69,953,False,False,amirr.r1370,4,0,0
,1027,637,False,False,teltelins,5,0,0
"۩ ๑۩๑ ۩ dey _mahi_۩ ๑۩๑ ۩
✿✿✿kermanshah✿✿✿
A diamond boy
A🌷💍🌷F",5804,5004,False,False,amirreza_almas9,3,93,1797
,1356,3406,False,False,abtin_pf,48,3,11
,82,4811,False,False,saharnaderfar2,24,0,3
"Perspolisi 6 atishe
Live in krj",26,510,True,False,misagh1860,27,,
,85,3163,False,False,asli_ii76,6,0,3
,67,3231,False,False,mmd14003,22,0,0
,255,1854,False,False,dar_ia1378,5,0,38
,78,6133,False,False,sayel68,5,0,4
,128,6017,False,False,l.l_.ehsan._l.l,12,0,2
خداجونم یادم بده یادم نره یادت کنم🙂❤,122,4718,True,False,roz__rajabi,22,,
,191,6825,False,False,bahar.sadegi.01,23,1,10
,64,1684,False,False,razye35133,4,1,2
ewmirrr,635,2712,False,False,ewmirrr.rrr,8,1,30
"Citi krj🏙
Khordas😎
Boks love😍",91,3081,True,False,nonami87669,16,,
,129,7240,False,False,esaiiisi,22,0,0
,68,2000,True,False,hhhjkkchj,4,,
,71,713,False,False,football.9923,4,0,0
,68,4073,False,False,yprv014,25,0,2
,93,4813,True,False,badbaby8633,5,,
Rst_teh,144,6179,False,False,nikita10104,7,1,8
,55,979,False,False,ashkanmir1222,22,0,0
,52,1073,False,False,cinama.feke,17,0,0
"‏‮m_argatsniyab ‬‏‪♫: 𝑺𝑶𝑺🔗. 
♫: 16: 𝒀.𝑶🐆. 
♫: 𝑰𝑹𝑨𝑸🇮🇶🌿.
 
- عيناها تقنع الملحدين بأنّ الله مُبدع .",94,4794,False,False,5x_77884,4,0,7
,99,5568,False,False,baz.3231,25,0,1
jui2021,65,3772,False,False,jui2021,5,0,1
,75,1110,False,False,kia_khafan001,4,0,0
,56,973,False,False,dadaaa7778,22,0,1
Jansbdbdifjbdidhdbcxh,91,579,False,False,mamad_0000000,22,0,2
"Msd
1998",75,1747,False,False,im_salehi70,22,1,3
"‏کاش ته این همه جون کندنامون خوشبختی باشه؛
نه مردن!🚶🏿‍♀️",1088,2091,False,False,_.13820,0,,
"#کنکور_آسان_است
#نمونه_تدریس
 خرید بسته های آموزشی
09126541637
تماس حاصل نمایید.
پیجی برای همه کنکوری هاو محصل های ایران👇
@alinoorifard_official",484,2456,False,False,ali_nourifard,11,2,18
,337,4301,False,False,hosin.399,4,0,7
,103,3885,False,False,maryam_no0191,0,,
,76,3360,False,False,salam_alii1,22,0,0
,91,2351,False,False,hasani.e00,6,0,0
,9,440,False,False,nima.sbb78,0,,
,143,5830,False,False,ghatipati283,20,0,5
Soli,65,2537,False,False,hamedosivand,22,0,0
♕کاش تو تقؤئم روز نامرد داشتیم♕∆ بهٔ بعضیا تبریک میگفتیم♕(m),410,1688,False,False,mohaddse50,5,0,8
,112,7369,False,False,8060mishaaa,24,0,3
,87,7054,False,False,armintnt123,0,,
,94,4884,False,False,roya.namii321,4,0,1
,55,3172,False,False,farhad.1w,12,0,0
❤با تو من تمام مشکلاتم را فراموش می کنم. با تو زمان می ایستد❤❤,1947,4823,False,False,s.aynaz_96,9,0,8
"هم آوا با موسیقی سنتی 
مجری پروژه های راهسازی ، 
اجرای بتن غلطکی و انواع آسفالت معمولی ،  نوا چیپ ،  نانو ،  پلیمری ، فاگ سیل ، چیپ سیل",2194,4346,False,False,hasan.asadzadeh110,42,111,404
,48,2951,True,False,ponehsha1370,11,,
I'm alone,101,5341,True,False,fatemeh_khanom_b,4,,
,120,7281,False,False,12sim90,22,0,8
"00:00:01""EGYPT🌵
________
FUCK YOUR OPINION💀🚬
_______________
...🔓💔✋
⚠{{🔞الفشيييخ كووووميدي🔞}}👌😂😂
https://www.facebook.com/mahmoud.capo.39794",20542,7482,False,False,__mody__,132,0,5
,83,5850,False,False,alitezazuuuu,4,0,1
,355,2533,False,False,59kosar,4,0,22
,62,937,False,False,sara679175,22,8,1
"دُختَرَکِ دیوونِه💅🍫🧸👠💄💍
Tehran🗼
Muzik🎶
@amirmaghare_official🎵",175,7362,False,False,__zahra__v__20,4,0,22
,87,4892,False,False,mera.jmoradi1541,25,0,1
,148,7450,False,False,smsm13561356,6,0,3
,110,4896,False,False,rezabatrsaz,4,0,2
"آروند(به معنی باشکوه)
***** فروشگاه پارچه مبلی و پرده ای ***** 
\بازار مبل یافت آباد/
\۰۹۲۰۱۲۳۱۸۴۱/
\عضو اتحادیه درودگران و مبلسازان تهران/",571,2411,False,False,arvand.stores,53,0,23
,119,2244,False,False,shr.op3,10,0,0
"Live in esfahan 🏠🏠
I love 🍕🍕
 perspolis ❤❤
playing کلاچ 😎😎",203,368,False,False,ali._.pvpage1386,0,,
,125,7440,False,False,mina.209090,10,0,1
,55,469,False,False,najgdf.dsfgc,4,0,1
"مُهِم نیس پُشت سَرمون چی میگن مُهم اینِ ک تو رومون جُرعت نَدارَن حرف بزنن👌🏿✋🏻
ＳＯＭＥＴＩＭＥＳ ＴＨＥ ＢＥＳＴ ＲＥＶＥＮＧＥ ＩＳ ＴＯ ＳＭＩＬＥ ＡＮＤ ＭＯＶÈ ØÑ⚜❤🌈🌙",1402,2900,False,False,moh_amad8705,3,11,463
,69,2186,False,False,yastuunes_,4,0,2
,67,5241,False,False,75m1000,0,,
,55,472,False,False,draftsman.tohidkhune,5,0,1
,117,2266,False,False,monasadeghi7677,22,0,1
,94,5695,False,False,an3333ti,4,0,0
,9,1132,False,False,mooshak.mooshak,1,0,0
"🏡fars kazeroon shahsaltaneh
🌜farvardin🌛mahi🌙",1313,4159,True,False,mehdi._.gh._.00,1,,
,55,1820,False,False,daryosh9960,4,0,2
,79,5256,False,False,frosh39110,30,0,0
@ali.m787918,83,1590,False,False,alimo1751,29,0,0
,155,1614,True,False,samira.samira5050,22,,
,53,645,True,False,zahrapashayi77,23,,
,311,1814,False,False,ali_ali_reza7,0,,
"Mese darya bashin🌊🌀
Rasht🦋🐬",75,767,True,False,naeme_fdaii,4,,
,120,5111,False,False,nadianina_8,6,0,8
lop.o9,105,6390,False,False,akiop87,10,0,4
,132,5569,False,False,tyu61615,23,1,15
,81,4804,False,False,bahadori9072,22,0,0
,71,1507,False,False,arezu_0099,22,0,1
,79,600,False,False,shadloohesam9090,26,0,2
,99,3804,False,False,bahar.sadegi.03,23,0,5
حساب للتفاعل,58,303,False,False,loq__o190,3,0,0
Alone,422,662,False,False,alone.turk_oglan,1,11,79
,78,1027,False,False,yahya06jh,10,0,0
,58,467,False,False,eshaqjohri,23,0,0
,161,7301,False,False,3hrbf.f,4,0,12
,82,1183,False,False,zahraaslani43,5,0,2
,94,5756,False,False,zmsoheyl,22,0,6
,133,7059,False,False,tataloo.momo,4,0,1
,50,4647,True,False,maria.saberii7,23,,
Jojoba,24,4198,False,False,susaneblikk,4,0,0
,154,7127,False,False,chiko4357,5,0,3
,68,3869,False,False,h__mm3060,4,0,1
,56,923,False,False,mohamad90641,10,0,1
,60,2954,True,False,p__7_7_,16,,
"‏‮m_argatsniyab ‬‏‪♫: 𝑺𝑶𝑺🔗. 
♫: 16: 𝒀.𝑶🐆. 
♫: 𝑰𝑹𝑨𝑸🇮🇶🌿.
 
- عيناها تقنع الملحدين بأنّ الله مُبدع .‏‮m_argatsniyab",97,4082,False,False,5x_77883,4,0,8
Tbz🏡,69,1663,False,False,ir989316,4,0,0
مادمت ع قيد الرسم فـ أنا ع قيد الحياة✨💛.,3518,2523,False,False,_lli9k,9,0,178
"مشاور زيبايي ( پوست مو ناخن ) 
محصولات تخصصي ارايشي بهداشتي و سلامتي
امكان ارسال به سراسر كشور
جهت اطلاع از قيمت 👈دايركت",1150,6911,False,False,beauty_hamedan,241,0,11
,56,1063,False,False,alilove1510,4,0,2
,56,933,False,False,alipoco200,5,0,0
"اردیبهشت
1375
پلاک5
مطالعه
تنیس
دوچرخه سواری",50,710,False,False,hale1375_,23,0,0
https://youtu.be/h5qcriHuUrc,97,6866,False,False,ali7.8015,10,0,1
"✨🌥😍🌙 
 طُ #ماه مَن شو مَن بَر خَلاف زَمین دُورت میگردَم  
  🌙😍✨🌥",43,2383,False,False,mhr._.daad,4,4,119
✌✌,52,1423,False,False,fflw822,4,0,1
"‏‮m_argatsniyab ‬‏‪♫: 𝑺𝑶𝑺🔗. 
♫: 16: 𝒀.𝑶🐆. 
♫: 𝑰𝑹𝑨𝑸🇮🇶🌿.
 
- عيناها تقنع الملحدين بأنّ الله مُبدع .",77,2793,False,False,5x_77886,4,0,4
,55,391,False,False,asak778,24,0,0
No body dies vagine in the end life fucks🍆🍆🍆 us all,2244,6059,False,False,stoppa_l,4,0,14
,76,7181,False,False,reza14_43,22,1,5
,100,3489,False,False,ali_49201,22,0,0
,103,481,False,False,mitra_____780,22,0,0
,133,4619,False,False,athena.____.a,4,4,40
,78,1940,False,False,rasad4639,23,0,1
,245,7284,False,False,aaaa67647,22,0,10
,102,3748,False,False,saman311311,23,0,3
,486,903,False,False,tatalbein,46,0,0
,89,7163,False,False,reza13_43,22,0,2
,61,305,False,False,hjjriri,13,0,0
,111,4385,False,False,farhad.ahmadiiii125,4,0,2
,90,1409,False,False,farhad.ahmadiiii121,4,0,0
,73,2053,True,False,boomb85852,24,,
,60,248,False,False,amir17890g,5,0,0
,1184,2387,False,False,abtin_xx19,12,0,3
,188,7433,False,False,hamed123859,5,0,1
,61,1464,False,False,ali_akbari995,5,0,1
,94,6071,False,False,mr.seda.71,23,0,4
Queen👸♥️,47,3511,True,False,nazanin_prv99,4,,
"Gym💪
🏠turkey
Born: iran
pv",76,2824,True,False,kamii__mirzaeii,4,,
پیج قبلیم هک شده,129,2852,False,False,meli.sx11,10,0,15
اشپزخانه و رستوران اصيل  خوزستان اهواز  با مديريت كاظم حيدرى       اماده پذيرش كليه سفارشات عروسى  عقد و مراسم عزادارى                  09397136555,216,3757,False,False,khzmlhydr,13,0,42
,112,2365,False,False,alimmdi76,4,0,0
همیشه مثل شیشه باش که اگر شکوندنت دست‌هاشو ببری💯💯,2148,1691,False,False,oktay_nickjahan,20,6,40
"👖پیج شلوار
@jean.aryana
کانال تلگرام : ⬇️",3646,4281,False,False,shoes_aryana,49,1,17
,93,4548,False,False,farhad.ahmadiiii122,4,0,0
,59,652,False,False,sanazsare9,22,0,0
"I'm transgender
بنام خالق هستی 
که ترنسارو بلاتکلیف آفرید 
(تابع قوانین جمعوری اسلامی)
پیج بچهای جنس برتر 
مارو دنبال کنید",270,3417,False,False,roy_a666,6,12,38
"صفحه ساکنین و دوست داران محله قدیمی نارمک
اخبار و رویدادهای محله نارمک را در نارمک ما پیگیری کنید 😊
سوژه های خود را با ما به اشتراک بگذارید
#نارمک",135,557,False,False,narmak_ma,9,0,5
"ژن خوب😊
Zangan🏡
Bahman🌙
EQUESTRIAN🐎
Animal sponser🐎🐈‍⬛
Tatality",1731,3193,False,False,_amir._yekta_,1,22,7
,157,4644,False,False,alialipor201,22,0,3
,225,2465,False,False,aliro_kham,4,0,3
"💆
مشاور پوست و مو",590,1718,False,False,tuss.beauty,0,,
,107,4357,False,False,jahni111,8,0,1
"نه یامان گونلره یورقون جانیمی سالدی فلک...🍂🍁
#سربازی_اجباری",1172,881,False,False,aydin.betyar4706,0,,
هنر کلید فهم زندگیست,163,738,False,False,mohammad.alavinejad,11,5,7
😎🍀. _ .,159,6686,False,False,ewlia_,5,0,0
,178,7502,False,False,sorosh.40018,23,0,8
,159,7241,False,False,alizarezaei34,10,0,1
,124,7443,False,False,wewe8485,22,0,2
,3279,1867,False,False,ari_mohamadpor,10,0,12
,74,1828,False,False,miro.nj8,5,0,0
,129,4895,False,False,samane_271690,6,1,16
,97,7337,False,False,toma56125612,8,0,4
"‏‮m_argatsniyab ‬‏‪♫: 𝑺𝑶𝑺🔗. 
♫: 16: 𝒀.𝑶🐆. 
♫: 𝑰𝑹𝑨𝑸🇮🇶🌿.
 
- عيناها تقنع الملحدين بأنّ الله مُبدع .",76,4164,False,False,5x_77882,4,0,7
,100,1947,True,False,salar.ahmadi78,22,,
"Pubg Mobile
TEAM_23BLAKCE
#Game play 
#scrim 
#tornoment
🇦🇫🇮🇷",122,2155,False,False,23black_pubge,0,,
mitra ya hasan ✋,72,1350,False,False,tazia_neh2,4,0,1
"با قلبی که سمت چپه .نمیشه راه راست رفت...
💙LIVE IN MESHGIN ALNI🏡
💙FOOTBALL 💙
💙Cr7💙
💙TAJ🎖🎖💙
💙FOLLOW=FOLLOW 💙
💙LIKE=LIKE💙
💙COMMENT=COMMENT💙
♣️single♣️",1697,829,False,False,jenab_mohammadreza,7,209,55
,78,3176,False,False,mama.m1980,23,0,0
,49,475,False,False,vvvv77770987,5,0,3
,2395,1924,False,False,modd1204,0,,
,2052,5064,False,False,be_hnam7444,6,12,183
"‏‮m_argatsniyab ‬‏‪♫: 𝑺𝑶𝑺🔗. 
♫: 16: 𝒀.𝑶🐆. 
♫: 𝑰𝑹𝑨𝑸🇮🇶🌿.
 
- عيناها تقنع الملحدين بأنّ الله مُبدع .",77,3836,False,False,5x_77881,4,0,6
زندگی زیباست اگه مهربون تر باشیم☺️🥰❤️🔥,168,5161,True,False,niraroya,22,,
,74,1636,False,False,samaneh33245,21,0,9
"New page
Hmd
Fitnes
Ordibeheshti",64,3852,True,False,mariiijjjooon,5,,
"کراتین ✋
بوتاکس 💕
پلکسی🌟 
ارگان تراپی 
کلاژن تراپی 😎
پروتئین تراپی 
احیا و صافی انواع موها با بهترین مواد و بالاترین ماندگاری 👑
#rasht_gilan",172,240,False,False,adis_beauti,6,3,10
,69,1635,False,False,bitaw773,4,0,2
Man ye khoshgelam💜,93,6026,False,False,aidin_99999,12,0,6
,75,1294,False,False,okazchoob1,10,0,0
"•نمایندگی ترکیه،گرجستان درالبرز
•خرید،فروش،رهن،اجاره
•مشخصات ملک خودرا ازطریق دایرکت یا واتساپ ارسال بفرمایید 
#هوم_لند_گلشهر
0912 86 115 86",11213,735,False,False,homeland_golshahr,118,0,46
,100,5931,False,False,tatalpary,4,0,1
Hhhh,115,7308,False,False,oppppop2,4,0,2
خیلی زود ، دیر شد ،،،،،،،,160,2590,False,False,kambiiz_56,19,8,34
,162,5107,False,False,behnam901,4,1,4
,63,1832,False,False,maryam_asllamii,11,0,0
,62,4820,True,False,tik_tok_d_nm_,5,,
,117,4362,False,False,farhad.ahmadiiii120,4,0,2
,70,2662,False,False,igjv87,10,0,0
,62,904,False,False,pp.xt321,23,0,0
,78,5089,False,False,sefiane50,4,0,1
,84,4231,False,False,naser_joon2,4,0,2
,69,2417,False,False,yasin.e00,5,0,1
,75,2431,False,False,six._.time,5,0,4
,50,3762,True,False,parvintavanaa,22,,
,48,885,False,False,yaldim151,5,0,1
,67,1509,False,False,abc.mamee5,25,0,1
"Ayda😊
15😋
Maghror😒
Singele🙃
Mehrab😍",237,3838,True,False,1384.ayda.1384,4,,
,97,4921,False,False,mama_d1155,22,0,2
,95,2924,False,False,hamed.tabrizi.fan.page,10,0,1
,1,234,False,False,gosghi.2199,0,,
,84,705,False,False,inix34,29,0,0
,70,1858,False,False,sarzaminariyaei,25,0,0
Tina is the greatest Mina!,164,3015,False,False,tina.mina0,10,0,2
,95,940,False,False,mona.babr,4,0,14
,84,3157,False,False,qaditrr,4,0,2
